champs,event_code,discipline,sex,constraint,place,ATHLETE,COUNTRY,RESULT,clesnsed_result,resultscore,
WC_2023,10000m,10000 Metres,M,time,5,Benard KIBET,KEN,27:56.27,1676.27,1138,
WC_2023,10000m,10000 Metres,M,time,6,Mohammed AHMED,CAN,27:56.43,1676.43,1137,
WC_2023,10000m,10000 Metres,M,time,7,Rodrigue KWIZERA,BDI,28:00.29,1680.29,1131,
WC_2023,10000m,10000 Metres,M,time,8,Nicholas KIPKORIR,KEN,28:03.38,1683.38,1127,
WC_2023,10000m,10000 Metres,M,time,9,Yann SCHRUB,FRA,28:07.42,1687.42,1120,
WC_2023,10000m,10000 Metres,M,time,10,Birhanu BALEW,BRN,28:08.03,1688.03,1119,
WC_2023,10000m,10000 Metres,M,time,11,William KINCAID,USA,28:08.71,1689.71,1117,
WC_2023,10000m,10000 Metres,M,time,12,Yemaneberhan CRIPPA,ITA,28:16.40,1696.40,1107,
WC_2023,Marathon,Marathon,M,time,1,Victor KIPLANGAT,UGA,2:08:53,7733.00,1179,
WC_2023,Marathon,Marathon,M,time,2,Maru TEFERI,ISR,2:09:12,7752.00,1174,
WC_2023,Marathon,Marathon,M,time,3,Leul GEBRESILASE,ETH,2:09:19,7759.00,1172,
WC_2023,Marathon,Marathon,M,time,4,Tebello RAMAKONGOANA,LES,2:09:57,7797.00,1161,
WC_2023,Marathon,Marathon,M,time,5,Stephen KISSA,UGA,2:10:22,7822.00,1154,
WC_2023,Marathon,Marathon,M,time,6,Milkesa MENGESHA,ETH,2:10:43,7843.00,1148,
WC_2023,Marathon,Marathon,M,time,7,Hassan CHAHDI,FRA,2:10:45,7845.00,1148,
WC_2023,Marathon,Marathon,M,time,8,Titus KIPRUTO,KEN,2:10:47,7847.00,1147,
WC_2023,Marathon,Marathon,M,time,9,John HAKIZIMANA,RWA,2:10:50,7850.00,1146,
WC_2023,Marathon,Marathon,M,time,10,Daniele MEUCCI,ITA,2:11:06,7866.00,1142,
WC_2023,Marathon,Marathon,M,time,11,Yohanes CHIAPPINELLI,ITA,2:11:12,7872.00,1140,
WC_2023,Marathon,Marathon,M,time,12,Ichitaka YAMASHITA,JPN,2:11:19,7879.00,1138,
WC_2023,110mH,110 Metres Hurdles,M,time,1,Grant HOLLOWAY,USA,12.96,12.96,1262,
WC_2023,110mH,110 Metres Hurdles,M,time,2,Hansle PARCHMENT,JAM,13.07,13.07,1241,
WC_2023,110mH,110 Metres Hurdles,M,time,3,Daniel ROBERTS,USA,13.09,13.09,1237,
WC_2023,110mH,110 Metres Hurdles,M,time,4,Freddie CRITTENDEN,USA,13.16,13.16,1223,
WC_2023,110mH,110 Metres Hurdles,M,time,5,Shunsuke IZUMIYA,JPN,13.19,13.19,1218,
WC_2023,110mH,110 Metres Hurdles,M,time,6,Sasha ZHOYA,FRA,13.26,13.26,1204,
WC_2023,110mH,110 Metres Hurdles,M,time,7,Jason JOSEPH,SUI,13.28,13.28,1200,
WC_2023,110mH,110 Metres Hurdles,M,time,8,Wilhem BELOCIAN,FRA,13.32,13.32,1193,
WC_2023,400mH,400 Metres Hurdles,M,time,1,Karsten WARHOLM,NOR,46.89,46.89,1290,
WC_2023,400mH,400 Metres Hurdles,M,time,2,Kyron MCMASTER,IVB,47.34,47.34,1266,
WC_2023,400mH,400 Metres Hurdles,M,time,3,Rai BENJAMIN,USA,47.56,47.56,1254,
WC_2023,400mH,400 Metres Hurdles,M,time,4,Roshawn CLARKE,JAM,48.07,48.07,1228,
WC_2023,400mH,400 Metres Hurdles,M,time,5,Alison DOS SANTOS,BRA,48.10,48.10,1226,
WC_2023,400mH,400 Metres Hurdles,M,time,6,Trevor BASSITT,USA,48.22,48.22,1220,
WC_2023,400mH,400 Metres Hurdles,M,time,7,Rasmus MÄGI,EST,48.33,48.33,1214,
WC_2023,400mH,400 Metres Hurdles,M,time,8,Joshua ABUAKU,GER,48.53,48.53,1204,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,1,Soufiane EL BAKKALI,MAR,8:03.53,484.53,1237,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,2,Lamecha GIRMA,ETH,8:05.44,485.44,1233,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,3,Abraham KIBIWOT,KEN,8:11.98,492.98,1198,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,4,Leonard Kipkemoi BETT,KEN,8:12.26,492.26,1202,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,5,George BEAMISH,NZL,8:13.46,493.46,1196,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,6,Ryuji MIURA,JPN,8:13.70,494.70,1190,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,7,Simon Kiprop KOECH,KEN,8:14.37,494.37,1192,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,8,Jean-Simon DESGAGNÉS,CAN,8:15.58,496.58,1182,
